Year,Conference,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2024,ACM,3658644.3670293.pdf,"SUB-PLAY : Adversarial Policies against Partially Observed Multi-Agent Reinforcement Learning Systems Oubo Ma Zhejiang University Hangzhou, China mob@","Multi-Agent Reinforcement Learning Systems Oubo Ma Zhejiang University Hangzhou, China mob@zju.edu.cnYuwen Pu∗",atk,Evasion,DL,Other,YES,YES,NO,Black-box,None,NO,High,High,0,1,0,0,0,1,2
2024,ACM,3658644.3690187.pdf,Distributed Backdoor Attacks on Federated Graph Learning and Certified Defenses Yuxin Yang yuxiny22@mails.jlu.edu.cn College of Computer Science and T,"Certified Defenses Yuxin Yang yuxiny22@mails.jlu.edu.cn College of Computer Science and Technology, Jilin University",both,Poisoning,DL,Other,YES,YES,NO,White-box,Partial,YES,None,High,1,0,1,0,0,1,3
2024,ACM,3658644.3690291.pdf,"Optimization-based Prompt Injection Attack to LLM-as-a-Judge Jiawen Shi∗ Huazhong University of Science and Technology Wuhan, China shijiawen@hust.edu","Optimization-based Prompt Injection Attack to LLM-as-a-Judge Jiawen Shi∗ Huazhong University of Science and Technology Wuhan, China",atk,Evasion,DL,Text,YES,YES,YES,White-box,None,YES,None,High,1,0,1,0,0,0,2
2024,IEEE,Dropout_Attacks.pdf,"Dropout Attacks Andrew Yuan, Alina Oprea, and Cheng Tan Northeastern University Abstract —Dropout is a common operator in deep learning, aiming to pre","Dropout Attacks Andrew Yuan, Alina Oprea, and Cheng Tan Northeastern University Abstract —Dropout is a common operator in deep learning, aiming to prevent overﬁtting by randomly dropping neurons",,,,,,,,,,,,,,,,,,,
2024,NDS,2024-1366-paper.pdf,Automatic Adversarial Adaption for Stealthy Poisoning Attacks in Federated Learning Torsten Krauß University of W ¨urzburg torsten.krauss@uni-wuerzbur,Poisoning Attacks in Federated Learning Torsten Krauß University of W ¨urzburg torsten.krauss@uni-wuerzburg.deJan K ¨onig University of W ¨urzburg,,,,,,,,,,,,,,,,,,,
2024,NDS,2024-380-paper.pdf,MPCD IFF: Testing and Repairing MPC-Hardened Deep Learning Models Qi Pangy Carnegie Mellon University qpang@andrew.cmu.eduYuanyuan Yuan HKUST yyuanaq@,Deep Learning Models Qi Pangy Carnegie Mellon University qpang@andrew.cmu.eduYuanyuan Yuan HKUST,,,,,,,,,,,,,,,,,,,
2024,USENIX,sec24fall-prepub-2154-pegoraro (1).pdf,DeepEclipse : How to Break White-Box DNN-Watermarking Schemes Alessandro Pegoraro Technical University of DarmstadtCarlotta Segna Technical University,DeepEclipse : How to Break White-Box DNN-Watermarking Schemes Alessandro Pegoraro Technical University of DarmstadtCarlotta Segna Technical University of Darmstadt Kavita Kumari,,,,,,,,,,,,,,,,,,,
2024,USENIX,sec24summer-prepub-349-li-changjiang.pdf,On the Difficulty of Defending Contrastive Learning against Backdoor Attacks Changjiang Li⋆Ren Pang†Bochuan Cao†Zhaohan Xi†Jinghui Chen† Shouling Ji‡T,"Changjiang Li⋆Ren Pang†Bochuan Cao†Zhaohan Xi†Jinghui Chen† Shouling Ji‡Ting Wang⋆ ⋆Stony Brook University†Pennsylvania State University‡Zhejiang University meet.cjli@gmail.com, {rbp5354, bccao, zxx51",,,,,,,,,,,,,,,,,,,
2024,USENIX,usenixsecurity24-shimmi.pdf,"This paper is included in the Proceedings of the  33rd USENIX Security Symposium. August 14–16, 2024 • Philadelphia, PA, USA 978-1-939133-44-1 Open ac","is sponsored by USENIX.VulSim: Leveraging Similarity of Multi-Dimensional  Neighbor Embeddings for Vulnerability Detection Samiha Shimmi, Ashiqur Rahman, and Mohan Gadde, Northern Illinois University;",,,,,,,,,,,,,,,,,,,
2024,USENIX,usenixsecurity24-xu-zhibo.pdf,"This paper is included in the Proceedings of the  33rd USENIX Security Symposium. August 14–16, 2024 • Philadelphia, PA, USA 978-1-939133-44-1 Open ac","is sponsored by USENIX.OblivGNN: Oblivious Inference on Transductive  and Inductive Graph Neural Network Zhibo Xu, Monash University and CSIRO’s Data61; Shangqi Lai, CSIRO’s Data61;  Xiaoning Liu, RMI",,,,,,,,,,,,,,,,,,,
