is_aml_paper,arxiv_id,found_in_artifacts,paper_title,paper_authors,paper_pub_date,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months
YES,1708.03999,IBM ART,ZOO: Zeroth Order Optimization based Black-box Attacks to Deep Neural Networks without Training Substitute Models,Pin-Yu Chen; Huan Zhang; Yash Sharma; Jinfeng Yi; Cho-Jui Hsieh,2017-08-14,,,,,,,,,,,,,2019-02-16,IBM ART,IBM ART:2019-02-16; IBM ART:2019-02-16,18.1
YES,1708.06733,IBM ART,BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain,Tianyu Gu; Brendan Dolan-Gavitt; Siddharth Garg,2017-08-22,,,,,,,,,,,,,2020-03-04,IBM ART,IBM ART:2020-03-04,30.4
YES,1709.04114,IBM ART,EAD: Elastic-Net Attacks to Deep Neural Networks via Adversarial Examples,Pin-Yu Chen; Yash Sharma; Huan Zhang; Jinfeng Yi; Cho-Jui Hsieh,2017-09-13,,,,,,,,,,,,,2017-11-28,IBM ART,IBM ART:2017-11-28; IBM ART:2017-11-28,2.5
YES,1710.06081,"Foolbox, IBM ART",Boosting Adversarial Attacks with Momentum,Yinpeng Dong; Fangzhou Liao; Tianyu Pang; Hang Su; Jun Zhu...,2017-10-17,,,,,,,,,,,,,2018-06-28,IBM ART,IBM ART:2018-06-28; IBM ART:2018-06-28; Foolbox:2023-11-09,8.3
YES,1710.08864,IBM ART,One pixel attack for fooling deep neural networks,Jiawei Su; Danilo Vasconcellos Vargas; Sakurai Kouichi,2017-10-24,,,,,,,,,,,,,2020-02-09,IBM ART,IBM ART:2020-02-09; IBM ART:2020-02-09,27.5
YES,1712.02779,"Foolbox, IBM ART",Exploring the Landscape of Spatial Robustness,Logan Engstrom; Brandon Tran; Dimitris Tsipras; Ludwig Schmidt; Aleksander Madry,2017-12-07,,,,,,,,,,,,,2019-01-14,IBM ART,IBM ART:2019-01-14; IBM ART:2019-01-14; Foolbox:2020-03-30,13.2
YES,1712.04248,"Foolbox, IBM ART",Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,Wieland Brendel; Jonas Rauber; Matthias Bethge,2017-12-12,,,,,,,,,,,,,2017-06-01,IBM ART,IBM ART:2017-06-01; IBM ART:2017-06-01; Foolbox:2019-12-20,-6.4
YES,1712.06751,TextAttack,HotFlip: White-Box Adversarial Examples for Text Classification,Javid Ebrahimi; Anyi Rao; Daniel Lowd; Dejing Dou,2017-12-19,,,,,,,,,,,,,2019-11-10,TextAttack,TextAttack:2019-11-10,22.7
YES,1712.09665,IBM ART,Adversarial Patch,Tom B. Brown; Dandelion Mané; Aurko Roy; Martín Abadi; Justin Gilmer,2017-12-27,,,,,,,,,,,,,2019-02-13,IBM ART,IBM ART:2019-02-13; IBM ART:2019-02-13; IBM ART:2019-05-02; IBM ART:2019-05-02; IBM ART:2019-05-02; IBM ART:2019-05-02; IBM ART:2019-05-02; IBM ART:2019-05-02,13.6
YES,1801.01944,IBM ART,Audio Adversarial Examples: Targeted Attacks on Speech-to-Text,Nicholas Carlini; David Wagner,2018-01-05,,,,,,,,,,,,,2020-09-04,IBM ART,IBM ART:2020-12-04; IBM ART:2020-12-04; IBM ART:2020-09-04,32.0
YES,1801.04354,TextAttack,Black-box Generation of Adversarial Text Sequences to Evade Deep Learning Classifiers,Ji Gao; Jack Lanchantin; Mary Lou Soffa; Yanjun Qi,2018-01-13,,,,,,,,,,,,,2020-02-19,TextAttack,TextAttack:2020-02-19,25.2
YES,1802.00420,CleverHans,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,Anish Athalye; Nicholas Carlini; David Wagner,2018-02-01,,,,,,,,,,,,,2019-04-10,CleverHans,CleverHans:2019-04-10,14.2
YES,1802.05666,CleverHans,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks,Jonathan Uesato; Brendan O'Donoghue; Aaron van den Oord; Pushmeet Kohli,2018-02-15,,,,,,,,,,,,,2019-01-09,CleverHans,CleverHans:2019-01-09; CleverHans:2019-01-09; CleverHans:2019-07-11,10.8
YES,1803.01128,TextAttack,Seq2Sick: Evaluating the Robustness of Sequence-to-Sequence Models with Adversarial Examples,Minhao Cheng; Jinfeng Yi; Pin-Yu Chen; Huan Zhang; Cho-Jui Hsieh,2018-03-03,,,,,,,,,,,,,2020-04-26,TextAttack,TextAttack:2020-04-26,25.8
YES,1804.00792,IBM ART,Poison Frogs! Targeted Clean-Label Poisoning Attacks on Neural Networks,Ali Shafahi; W. Ronny Huang; Mahyar Najibi; Octavian Suciu; Christoph Studer...,2018-04-03,,,,,,,,,,,,,2020-04-23,IBM ART,IBM ART:2020-04-23,24.7
YES,1804.07781,TextAttack,Pathologies of Neural Models Make Interpretations Difficult,Shi Feng; Eric Wallace; Alvin Grissom; Mohit Iyyer; Pedro Rodriguez...,2018-04-20,,,,,,,,,,,,,2020-06-03,TextAttack,TextAttack:2020-06-03,25.5
YES,1804.07998,TextAttack,Generating Natural Language Adversarial Examples,Moustafa Alzantot; Yash Sharma; Ahmed Elgohary; Bo-Jhang Ho; Mani Srivastava...,2018-04-21,,,,,,,,,,,,,2019-11-10,TextAttack,TextAttack:2019-11-10,18.7
YES,1805.09190,Foolbox,Towards the first adversarially robust neural network model on MNIST,Lukas Schott; Jonas Rauber; Matthias Bethge; Wieland Brendel,2018-05-23,,,,,,,,,,,,,2018-01-19,Foolbox,Foolbox:2018-01-19,-4.1
YES,1805.11090,Foolbox,GenAttack: Practical Black-box Attacks with Gradient-Free Optimization,Moustafa Alzantot; Yash Sharma; Supriyo Chakraborty; Huan Zhang; Cho-Jui Hsieh...,2018-05-28,,,,,,,,,,,,,2020-03-02,Foolbox,Foolbox:2020-03-02,21.2
YES,1806.02299,IBM ART,DPatch: An Adversarial Patch Attack on Object Detectors,Xin Liu; Huanrui Yang; Ziwei Liu; Linghao Song; Hai Li...,2018-06-05,,,,,,,,,,,,,2020-04-02,IBM ART,IBM ART:2020-04-02; IBM ART:2020-04-02; IBM ART:2020-11-17; IBM ART:2020-11-17,21.9
YES,1806.05476,IBM ART,Copycat CNN: Stealing Knowledge by Persuading Confession with Random Non-Labeled Data,Jacson Rodrigues Correia-Silva; Rodrigo F. Berriel; Claudine Badue; Alberto F. de Souza; Thiago Oliveira-Santos,2018-06-14,,,,,,,,,,,,,2017-06-01,IBM ART,IBM ART:2017-06-01; IBM ART:2017-06-01,-12.4
YES,1810.08280,IBM ART,Exploring Adversarial Examples in Malware Detection,Octavian Suciu; Scott E. Coull; Jeffrey Johns,2018-10-18,,,,,,,,,,,,,2021-04-07,IBM ART,IBM ART:2021-04-07; IBM ART:2021-04-07; IBM ART:2021-04-07; IBM ART:2021-04-07,29.6
YES,1811.09600,Foolbox,Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses,Jérôme Rony; Luiz G. Hafemann; Luiz S. Oliveira; Ismail Ben Ayed; Robert Sabourin...,2018-11-23,,,,,,,,,,,,,2020-02-07,Foolbox,Foolbox:2020-02-07,14.5
YES,1811.11875,IBM ART,Adversarial Attacks for Optical Flow-Based Action Recognition Classifiers,Nathan Inkawhich; Matthew Inkawhich; Yiran Chen; Hai Li,2018-11-28,,,,,,,,,,,,,2020-03-29,IBM ART,IBM ART:2020-03-29; IBM ART:2020-03-29,16.0
YES,1812.02606,IBM ART,The Limitations of Model Uncertainty in Adversarial Settings,Kathrin Grosse; David Pfaff; Michael Thomas Smith; Michael Backes,2018-12-06,,,,,,,,,,,,,2019-07-31,IBM ART,IBM ART:2019-07-31; IBM ART:2019-07-31,7.8
YES,1812.02766,IBM ART,Knockoff Nets: Stealing Functionality of Black-Box Models,Tribhuvanesh Orekondy; Bernt Schiele; Mario Fritz,2018-12-06,,,,,,,,,,,,,2017-11-28,IBM ART,IBM ART:2017-11-28; IBM ART:2017-11-28,-12.3
YES,1812.05271,TextAttack,TextBugger: Generating Adversarial Text Against Real-world Applications,Jinfeng Li; Shouling Ji; Tianyu Du; Bo Li; Ting Wang,2018-12-13,,,,,,,,,,,,,2020-06-03,TextAttack,TextAttack:2020-06-03,17.7
YES,1901.03583,IBM ART,Explaining Vulnerabilities of Deep Learning to Adversarial Malware Binaries,Luca Demetrio; Battista Biggio; Giovanni Lagorio; Fabio Roli; Alessandro Armando,2019-01-11,,,,,,,,,,,,,2021-04-07,IBM ART,IBM ART:2021-04-07; IBM ART:2021-04-07,26.8
YES,1902.07906,IBM ART,Wasserstein Adversarial Examples via Projected Sinkhorn Iterations,Eric Wong; Frank R. Schmidt; J. Zico Kolter,2019-02-21,,,,,,,,,,,,,2017-11-28,IBM ART,IBM ART:2017-11-28; IBM ART:2017-11-28; IBM ART:2017-11-28,-14.8
YES,1903.10346,IBM ART,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition",Yao Qin; Nicholas Carlini; Ian Goodfellow; Garrison Cottrell; Colin Raffel,2019-03-22,,,,,,,,,,,,,2018-09-26,IBM ART,IBM ART:2018-09-26; IBM ART:2018-09-26,-5.8
YES,1904.02144,"CleverHans, Foolbox, IBM ART",HopSkipJumpAttack: A Query-Efficient Decision-Based Attack,Jianbo Chen; Michael I. Jordan; Martin J. Wainwright,2019-04-03,,,,,,,,,,,,,2017-06-01,IBM ART,CleverHans:2020-05-06; IBM ART:2017-06-01; IBM ART:2017-06-01; Foolbox:2020-08-29,-22.0
YES,1904.11042,IBM ART,Physical Adversarial Textures that Fool Visual Object Tracking,Rey Reza Wiyatno; Anqi Xu,2019-04-24,,,,,,,,,,,,,2021-10-07,IBM ART,IBM ART:2021-10-07; IBM ART:2021-10-07,29.5
YES,1904.13000,Foolbox,Adversarial Training and Robustness for Multiple Perturbations,Florian Tramèr; Dan Boneh,2019-04-30,,,,,,,,,,,,,2020-02-23,Foolbox,Foolbox:2020-02-23,9.8
YES,1905.07121,IBM ART,Simple Black-box Adversarial Attacks,Chuan Guo; Jacob R. Gardner; Yurong You; Andrew Gordon Wilson; Kilian Q. Weinberger,2019-05-17,,,,,,,,,,,,,2020-01-31,IBM ART,IBM ART:2020-01-31; IBM ART:2020-01-31,8.5
YES - Defense,1905.11268,TextAttack,Combating Adversarial Misspellings with Robust Word Recognition,Danish Pruthi; Bhuwan Dhingra; Zachary C. Lipton,2019-05-27,,,,,,,,,,,,,2020-07-06,TextAttack,TextAttack:2020-07-06,13.3
YES,1905.13409,IBM ART,Bypassing Backdoor Detection Algorithms in Deep Learning,Te Juin Lester Tan; Reza Shokri,2019-05-31,,,,,,,,,,,,,2020-08-17,IBM ART,IBM ART:2020-08-17,14.6
YES,1906.06026,IBM ART,Adversarial Robustness Assessment: Why both $L_0$ and $L_\infty$ Attacks Are Necessary,Shashank Kotyan; Danilo Vasconcellos Vargas,2019-06-14,,,,,,,,,,,,,2020-02-09,IBM ART,IBM ART:2020-02-09; IBM ART:2020-02-09; IBM ART:2020-02-09; IBM ART:2020-02-09,7.9
YES,1906.11897,IBM ART,On Physical Adversarial Patches for Object Detection,Mark Lee; Zico Kolter,2019-06-20,,,,,,,,,,,,,2020-11-17,IBM ART,IBM ART:2020-11-17; IBM ART:2020-11-17,17.0
YES,1907.01003,"Foolbox, IBM ART","Accurate, reliable and fast robustness evaluation",Wieland Brendel; Jonas Rauber; Matthias Kümmerer; Ivan Ustyuzhaninov; Matthias Bethge,2019-07-01,,,,,,,,,,,,,2020-01-03,Foolbox,IBM ART:2020-09-25; Foolbox:2020-01-03,6.1
YES,1907.11932,TextAttack,Is BERT Really Robust? A Strong Baseline for Natural Language Attack on Text Classification and Entailment,Di Jin; Zhijing Jin; Joey Tianyi Zhou; Peter Szolovits,2019-07-27,,,,,,,,,,,,,2019-11-10,TextAttack,TextAttack:2019-11-10,3.5
YES,1909.01838,IBM ART,High Accuracy and High Fidelity Extraction of Neural Networks,Matthew Jagielski; Nicholas Carlini; David Berthelot; Alex Kurakin; Nicolas Papernot,2019-09-03,,,,,,,,,,,,,2019-12-05,IBM ART,IBM ART:2019-12-05; IBM ART:2019-12-05,3.1
YES - Defense,1909.06723,TextAttack,Natural Language Adversarial Defense through Synonym Encoding,Xiaosen Wang; Hao Jin; Yichen Yang; Kun He,2019-09-15,,,,,,,,,,,,,2019-11-10,TextAttack,TextAttack:2019-11-10,1.8
YES,1910.00033,IBM ART,Hidden Trigger Backdoor Attacks,Aniruddha Saha; Akshayvarun Subramanya; Hamed Pirsiavash,2019-09-30,,,,,,,,,,,,,2022-01-14,IBM ART,IBM ART:2022-01-14; IBM ART:2022-01-14; IBM ART:2022-01-14; IBM ART:2022-01-14; IBM ART:2022-01-14; IBM ART:2022-01-14,27.5
YES,1911.03274,IBM ART,Imperceptible Adversarial Attacks on Tabular Data,Vincent Ballet; Xavier Renard; Jonathan Aigrain; Thibault Laugel; Pascal Frossard...,2019-11-08,,,,,,,,,,,,,2021-04-23,IBM ART,IBM ART:2021-04-23; IBM ART:2021-04-23,17.5
YES,1911.06502,IBM ART,Simple iterative method for generating targeted universal adversarial perturbations,Hokuto Hirano; Kazuhiro Takemoto,2019-11-15,,,,,,,,,,,,,2017-06-07,IBM ART,IBM ART:2017-06-07; IBM ART:2017-06-07,-29.3
YES,1912.00049,IBM ART,Square Attack: a query-efficient black-box adversarial attack via random search,Maksym Andriushchenko; Francesco Croce; Nicolas Flammarion; Matthias Hein,2019-11-29,,,,,,,,,,,,,2019-11-08,IBM ART,IBM ART:2019-11-08; IBM ART:2019-11-08,-0.7
YES,2002.05123,IBM ART,Over-the-Air Adversarial Flickering Attacks against Video Recognition Networks,Roi Pony; Itay Naeh; Shie Mannor,2020-02-12,,,,,,,,,,,,,2021-05-13,IBM ART,IBM ART:2021-05-13; IBM ART:2021-05-13,15.0
YES,2002.07088,IBM ART,GRAPHITE: Generating Automatic Physical Examples for Machine-Learning Attacks on Computer Vision Systems,Ryan Feng; Neal Mangaokar; Jiefeng Chen; Earlence Fernandes; Somesh Jha...,2020-02-17,,,,,,,,,,,,,2022-06-28,IBM ART,IBM ART:2022-06-28; IBM ART:2022-06-28; IBM ART:2022-06-28; IBM ART:2022-06-28,28.3
YES,2003.01690,IBM ART,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,Francesco Croce; Matthias Hein,2020-03-03,,,,,,,,,,,,,2019-11-08,IBM ART,IBM ART:2019-11-08; IBM ART:2019-11-08; IBM ART:2019-11-08; IBM ART:2019-11-08,-3.8
YES,2003.08937,IBM ART,Breaking certified defenses: Semantic adversarial examples with spoofed robustness certificates,Amin Ghiasi; Ali Shafahi; Tom Goldstein,2020-03-19,,,,,,,,,,,,,2020-05-09,IBM ART,IBM ART:2020-05-09; IBM ART:2020-05-09,1.7
YES,2003.09461,RobustBench,Adversarial Robustness on In- and Out-Distribution Improves Explainability,Maximilian Augustin; Alexander Meinke; Matthias Hein,2020-03-20,,,,,,,,,,,,,2021-01-14,RobustBench,RobustBench:2021-01-14,9.9
YES,2004.09984,TextAttack,BERT-ATTACK: Adversarial Attack Against BERT Using BERT,Linyang Li; Ruotian Ma; Qipeng Guo; Xiangyang Xue; Xipeng Qiu,2020-04-21,,,,,,,,,,,,,2020-06-28,TextAttack,TextAttack:2020-06-28,2.2
YES,2005.00191,IBM ART,Bullseye Polytope: A Scalable Clean-Label Poisoning Attack with Improved Transferability,Hojjat Aghakhani; Dongyu Meng; Yu-Xiang Wang; Christopher Kruegel; Giovanni Vigna,2020-05-01,,,,,,,,,,,,,2021-03-10,IBM ART,IBM ART:2021-03-10,10.3
YES,2005.04118,TextAttack,Beyond Accuracy: Behavioral Testing of NLP models with CheckList,Marco Tulio Ribeiro; Tongshuang Wu; Carlos Guestrin; Sameer Singh,2020-05-08,,,,,,,,,,,,,2020-09-01,TextAttack,TextAttack:2020-09-01; TextAttack:2020-09-01,3.8
YES,2007.07677,Foolbox,Fast Differentiable Clipping-Aware Normalization and Rescaling,Jonas Rauber; Matthias Bethge,2020-07-15,,,,,,,,,,,,,2020-01-10,Foolbox,Foolbox:2020-01-10,-6.1
YES,2007.14321,IBM ART,Label-Only Membership Inference Attacks,Christopher A. Choquette-Choo; Florian Tramer; Nicholas Carlini; Nicolas Papernot,2020-07-28,,,,,,,,,,,,,2020-02-18,IBM ART,IBM ART:2020-02-18; IBM ART:2020-11-07; IBM ART:2020-11-07; IBM ART:2020-11-07,-5.3
YES,2007.15528,IBM ART,Membership Leakage in Label-Only Exposures,Zheng Li; Yang Zhang,2020-07-30,,,,,,,,,,,,,2020-11-07,IBM ART,IBM ART:2020-11-07; IBM ART:2020-11-07; IBM ART:2020-11-07,3.3
YES,2008.07125,IBM ART,Adversarial EXEmples: A Survey and Experimental Evaluation of Practical Attacks on Machine Learning for Windows Malware Detection,Luca Demetrio; Scott E. Coull; Battista Biggio; Giovanni Lagorio; Alessandro Armando...,2020-08-17,,,,,,,,,,,,,2021-04-07,IBM ART,IBM ART:2021-04-07; IBM ART:2021-04-07,7.7
YES,2009.02276,IBM ART,Witches' Brew: Industrial Scale Data Poisoning via Gradient Matching,Jonas Geiping; Liam Fowl; W. Ronny Huang; Wojciech Czaja; Gavin Taylor...,2020-09-04,,,,,,,,,,,,,2021-12-07,IBM ART,IBM ART:2021-12-07; IBM ART:2021-12-07,15.1
YES,2009.07502,TextAttack,Contextualized Perturbation for Textual Adversarial Attack,Dianqi Li; Yizhe Zhang; Hao Peng; Liqun Chen; Chris Brockett...,2020-09-16,,,,,,,,,,,,,2020-10-17,TextAttack,TextAttack:2020-10-17,1.0
YES,2102.12827,Foolbox,Fast Minimum-norm Adversarial Attacks through Adaptive Norm Constraints,Maura Pintor; Fabio Roli; Wieland Brendel; Battista Biggio,2021-02-25,,,,,,,,,,,,,2021-06-04,Foolbox,Foolbox:2021-06-04; Foolbox:2021-06-04,3.3
YES,2103.06504,IBM ART,Adversarial Laser Beam: Effective Physical-World Attack to DNNs in a Blink,Ranjie Duan; Xiaofeng Mao; A. K. Qin; Yun Yang; Yuefeng Chen...,2021-03-11,,,,,,,,,,,,,2021-11-10,IBM ART,IBM ART:2021-11-10; IBM ART:2021-11-10; IBM ART:2021-11-10,8.0
YES,2106.08970,IBM ART,Sleeper Agent: Scalable Hidden Trigger Backdoors for Neural Networks Trained from Scratch,Hossein Souri; Liam Fowl; Rama Chellappa; Micah Goldblum; Tom Goldstein,2021-06-16,,,,,,,,,,,,,2022-06-06,IBM ART,IBM ART:2022-06-06,11.7
YES,2106.09898,TextAttack,Bad Characters: Imperceptible NLP Attacks,Nicholas Boucher; Ilia Shumailov; Ross Anderson; Nicolas Papernot,2021-06-18,,,,,,,,,,,,,2025-04-17,TextAttack,TextAttack:2025-04-17,46.0
YES,2108.01644,IBM ART,The Devil is in the GAN: Backdoor Attacks and Defenses in Deep Generative Models,Ambrish Rawat; Killian Levacher; Mathieu Sinn,2021-08-03,,,,,,,,,,,,,2021-12-08,IBM ART,IBM ART:2021-12-08; IBM ART:2021-12-08,4.2
YES,2109.00544,TextAttack,Towards Improving Adversarial Training of NLP Models,Jin Yong Yoo; Yanjun Qi,2021-09-01,,,,,,,,,,,,,2021-09-11,TextAttack,TextAttack:2021-09-11,0.3
NO - Exclude,2111.14725,RobustBench,Searching the Search Space of Vision Transformer,Minghao Chen; Kan Wu; Bolin Ni; Houwen Peng; Bei Liu...,2021-11-29,,,,,,,,,,,,,2024-11-05,RobustBench,RobustBench:2024-11-05; RobustBench:2024-11-05; RobustBench:2024-11-05; RobustBench:2024-11-05,35.2
YES,2202.04235,IBM ART,Towards Compositional Adversarial Robustness: Generalizing Adversarial Training to Composite Semantic Perturbations,Lei Hsiung; Yun-Yun Tsai; Pin-Yu Chen; Tsung-Yi Ho,2022-02-09,,,,,,,,,,,,,2023-09-14,IBM ART,IBM ART:2023-09-14; IBM ART:2023-09-14,19.1
YES,2205.14497,IBM ART,BadDet: Backdoor Attacks on Object Detection,Shih-Han Chan; Yinpeng Dong; Jun Zhu; Xiaolu Zhang; Jun Zhou,2022-05-28,,,,,,,,,,,,,2023-02-23,IBM ART,IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23,8.9
YES,2206.09628,IBM ART,Diversified Adversarial Attacks based on Conjugate Gradient Method,Keiichiro Yamamura; Haruki Sato; Nariaki Tateiwa; Nozomi Hata; Toru Mitsutake...,2022-06-20,,,,,,,,,,,,,2019-11-08,IBM ART,IBM ART:2019-11-08; IBM ART:2019-11-08,-31.4
YES,2212.11005,RobustBench,Revisiting Residual Networks for Adversarial Robustness: An Architectural Perspective,Shihua Huang; Zhichao Lu; Kalyanmoy Deb; Vishnu Naresh Boddeti,2022-12-21,,,,,,,,,,,,,2023-02-08,RobustBench,RobustBench:2023-02-08,1.6
YES,2303.01870,RobustBench,"Revisiting Adversarial Training for ImageNet: Architectures, Training and Generalization across Threat Models",Naman D Singh; Francesco Croce; Matthias Hein,2023-03-03,,,,,,,,,,,,,2023-03-15,RobustBench,RobustBench:2023-03-15,0.4
YES,2304.05370,IBM ART,Overload: Latency Attacks on Object Detection for Edge Devices,Erh-Chung Chen; Pin-Yu Chen; I-Hsin Chung; Che-rung Lee,2023-04-11,,,,,,,,,,,,,2023-11-28,IBM ART,IBM ART:2024-04-28; IBM ART:2023-11-28; IBM ART:2023-11-28,7.6
YES,2307.15043,PyRIT,Universal and Transferable Adversarial Attacks on Aligned Language Models,Andy Zou; Zifan Wang; Nicholas Carlini; Milad Nasr; J. Zico Kolter...,2023-07-27,,,,,,,,,,,,,2024-10-09,PyRIT,PyRIT:2024-10-09,14.5
